publish_date,rumor,fact,ents
2020/2/8,Can sun exposure kill the novel coronavirus?,"Sun exposure cannot kill the novel coronavirus. The irradiation temperature of the sun cannot reach 56 C, and the ultraviolet rays cannot reach the intensity of ultraviolet lamps, so the virus can't be killed by the sun.If you want to go out for a sun bath, please wear a mask and take other protective measures.",coronavirus
2020/2/8,"Does the new coronavirus affect older people, or are younger people also susceptible?","The fact is, people of all ages can be infected by the new coronavirus. Older people and people with pre-existing medical conditions (such as asthma, diabetes and heart disease) appear to be more vulnerable to becoming severely ill with the virus. WHO advises people of all ages to take steps to protect themselves.","WHO,coronavirus,heart disease"
2020/2/8,Are antibiotics effective in preventing and treating the new coronavirus?,"The fact is, antibiotics do not work against viruses, only bacteria. The new coronavirus (2019-nCoV) is a virus, and therefore antibiotics should not be used as a means of prevention or treatment. However, if you are hospitalized for the 2019-nCoV, you may receive antibiotics because bacterial co-infection is possible.","treatment,coronavirus"
2020/2/8,Can taking a hot bath or using air conditioning kill the novel coronavirus?,"Taking a hot bath or blowing air conditioning cannot kill the novel coronavirus. Although the novel coronavirus is vulnerable to heat, it can only be effectively inactivated after exposure to a 56 C temperature for over 30 minutes. Your normal body temperature remains around 36.5¡ãC to 37¡ãC, regardless of the temperature of your bath or shower. Actually, taking a hot bath with extremely hot water can be harmful, as it can burn you. The best way to protect yourself against COVID-19 is by frequently cleaning your hands. By doing this you eliminate viruses that may be on your hands and avoid infection that could occur by then touching your eyes, mouth, and nose.","COVID-19,coronavirus,novel coronavirus"
2020/2/8,"The higher the concentration of alcohol, the more effective a disinfectant is?","Ethanol at a concentration of 60 to 80 percent proves to be an effective antiseptic, which can deactivate all lipophilic viruses and many hydrophilic viruses. However, 90 percent alcohol concentration may reduce the effectiveness of disinfection, because the chance of mutation for protein - a major substance contained in the virus - is less without water.",
2020/2/8,Can fur collars attract viruses more easily?,"It's a misconception that fur collars can attract viruses more easily. Due to the nature of the influenza virus, the virus prefers smooth, non-porous surfaces and has a shorter retention time on woolen fabrics. At home or before going out, it is not necessary to consider which kind of material has less chance to absorb the virus - choosing comfortable clothes is enough. After returning home, please wash your hands, sterilize the clothes and blow the clothes with a dryer.",
2020/2/10,"Aerosol, fecal routes of infection unconfirmed","The National Health Commission reiterated on Sunday that the transmission routes of the novel coronavirus through aerosols and digestive tracts have yet to be confirmed. ""So far, we've made clear that the transmission routes of the novel coronavirus are through droplets and contacts, and the other transmission routes, such as through aerosol and fecal-oral, need to be further clarified,"" the commission said during a media briefing. In a post on its WeChat account on Sunday it said, ""Most confirmed cases of the novel coronavirus pneumonia can be traced to close contact with previously confirmed patients, according to our epidemiological investigations."" In the fifth edition of the diagnosis and treatment plans for NCP, released on Saturday, the commission said the transmission routes of the virus through aerosols and digestive tracts had not been identified. Experts explained that aerosols refer to liquid or small particles suspended in the air. People exhale aerosols all the time, from breathing and talking to singing and sneezing. They added that the diameter of droplets produced by talking or sneezing is usually more than 1 millimeter while that of aerosols is less than 0.1 mm. ""Being much smaller, aerosols won't drop to the surface of something or to the ground immediately. Instead, they will linger in the air for as long as several days,"" said Wang Minghuai, a professor from the School of Atmospheric Sciences at Nanjing University in Jiangsu province. Doctors said that many viruses causing respiratory diseases are transmitted via aerosols, but that such transmission happens only rarely in open areas as there are various substances in the air, including ultraviolet rays and free radicals with strong oxidation properties that will largely reduce the toxicity, while their density is naturally diluted in the air. So people will only get infected by a virus through aerosol transmission when they enter an enclosed space, such as an elevator recently vacated by an infected person who coughed a lot, doctors said. They reminded people to wear face masks at all times in public places and to avoid poorly ventilated places as much as possible. Cao Junji, director of the Chinese Academy of Sciences' Key Laboratory of Aerosol Chemistry and Physics, reminded people to maintain ventilation or use air purifiers when at home or in the office to reduce possible virus concentrations in the air. Shen Yinzhong, director of infectious diseases at the Shanghai Public Health Clinical Center, said the aerosol transmission route posed a greater health threat to front-line medical workers than the general public as the use of some medical devices, including respirators and atomizers, generated aerosols.","confirmed,cases,transmission,infectious diseases,Public Health,who,epidemiological,coronavirus,treatment"
2020/2/10,Can the virus be caught from people with no symptoms?,"The fact is that people who have symptoms have caused the majority of the spread of the virus. Based on the observation of MERS (Middle East Respiratory Syndrome), it is rare for infected patients showing no symptoms to spread the coronavirus to others.","who,coronavirus"
2020/2/10,Spraying ethanol or chlorine kills the virus?,"The fact is, spraying ethanol or chlorine all over the body does not kill viruses that have already entered into the body. Instead, it may be harmful to spray such substances over clothing or mucous membranes (eyes, mouth). Ethanol and chlorine may be useful for the surface disinfection of various objects, but people should follow recommendations when using them.",
2020/2/10,Can using hand dryer kill the new coronavirus?,"The fact is, a hand dryer cannot effectively kill the new coronavirus. To protect yourself from the disease, you should always wash your hands with an ethanol-based hand sanitizer or soap and water. After washing your hands, dry them thoroughly by paper towels or a warm air dryer.",coronavirus
2020/2/10,Can UV-lamps be used for skin disinfection?,"The fact is, ultraviolet lamps should not be used for the disinfection of hands or other parts of the skin, as ultraviolet radiation can cause skin allergies.",
2020/2/11,Is novel coronavirus a type of SARS?,"Experts debunked the claim that the novel coronavirus is a type of Severe Acute Respiratory Syndrome (SARS) virus, which has caused unnecessary panic on Chinese social media. The novel coronavirus may share some genetic similarities with the SARS virus£­both use the same ACE2 receptor to enter cells, for example£­but it is inaccurate to say novel coronavirus is a type of SARS virus, they said. The controversy began on Sunday night when virologist Chen Huanchun made the claim, which quickly went viral on Chinese social media and led to scientists scrambling to refute it. Chen later apologized for the error in speaking, saying he intended to say both viruses belong to the same broad category£­both are beta coronaviruses, one of the four major genera of the coronaviruses first discovered in 1968. The SARS epidemic between 2002 and 2003 still strikes a sensitive nerve in the Chinese public since it was the first viral outbreak in the 21st century to seriously challenge the nation's public health infrastructure and response mechanisms. SARS's visible symptoms are also more serious, and it has a higher death rate, around 9.6 percent, than novel coronavirus, which is estimated to be around 2 to 4 percent, according to the Chinese Center for Disease Control and Prevention. As a result, scientists have been very careful when comparing the two coronaviruses. Zhong Nanshan, the leading expert spearheading China's epidemic response, was the first scientist to speak out against Chen's claim. ""The novel coronavirus belongs to a parallel classification of the SARS virus,"" he said. ""They may belong to the same category, but they are not the same species. They are very different."" Of all the coronaviruses discovered, only seven can infect humans, according to the United States Center for Disease Control and Prevention. Four are alpha coronaviruses, and the other three are beta coronaviruses such as SARS, novel coronavirus and Middle East Respiratory Syndrome, or MERS. According to the journal Lancet, novel coronavirus and SARS share about 79 percent of their genetic sequence, meaning they are related but are very distant organisms. In comparison, humans share 96 percent of their genes with chimpanzees and 80 percent with cows, according to the National Human Genome Research Institute.","ACE2,novel coronavirus,public health,China,coronavirus,outbreak,epidemic"
2020/2/11,Can disposable face masks be reused?,"The fact is a face mask is less effective in preventing the virus after being disinfected through spraying alcohol. However, in places where the epidemic is less severe, disposable face masks can be reused as long as its inner layer is unsoiled. After each use, a face mask should be put in a clean place with good ventilation.",epidemic
2020/2/12,Are Chinese more vulnerable to novel coronavirus?,"At a Feb 7 news conference held by the White House response team for the novel coronavirus outbreak, a journalist asked, ""Are Chinese more likely to be infected by the novel coronavirus pneumonia?"" Anthony S. Fauci, director doctor of the National Institute of Allergy and Infectious Diseases at the United States National Institutes of Health, said most cases of the novel coronavirus have indeed been found in China, but there haven't been any findings about which groups are more vulnerable. He said that after reviewing the infection history of respiratory viruses, there has never been evidence showing Asian ethnic groups are more vulnerable to the novel coronavirus.","cases,novel coronavirus,pneumonia,China,coronavirus,outbreak,Infectious Diseases"
2020/2/12,Will recovered patients suffer severe side effects?,"One rumor claims patients who have recovered from the novel coronavirus will suffer chronic side effects, worse than those seen in SARS survivors. Zhan Qingyuan, head of an expert team for pneumonia control at China-Japan Friendship Hospital, said there should be no chronic side effects for patients with mild symptoms. Those with severe symptoms may experience pulmonary fibrosis, he said. He said most of the problems will be addressed thanks to the ability of the lung to repair itself, though symptoms may linger for an extended period of time in a tiny minority of patients with extremely severe cases.","cases,Japan,who,China,coronavirus"
2020/2/13,Are goggles necessary when going out?,"It is alleged that during the outbreak of the novel coronavirus people should wear goggles when away from home. The public has no need to wear goggles, said Li Lanjuan, a renowned Chinese epidemiologist. Only doctors at the front lines of the outbreak should wear protective goggles or masks when diagnosing and treating infected patients, said Li. The infection rate via the eyes is tiny. At present, there is no need for people to wear goggles - the more important is regular  hand-washing and no eye-rubbing, she said. ","outbreak,coronavirus,novel coronavirus"
2020/2/13,Contact lens must not be worn during outbreak?,"In fact, contact lenses can be used as long as they are kept clean, said Ye Jian, an ophthalmologist of Daping Hospital in Chongqing municipality. Before putting a lens into an eye or taking a lens out, one should sterilize their hands. But in cases where someone shows symptoms, such as coughing and eye discomfort, or has contacted with an infected person, stop using contact lens, and go see a doctor.",cases
2020/2/14,Novel coronavirus detected on banknotes?,"As a carrier, a banknote has a tiny possibility of being contaminated by the virus, and the probability for the virus' survival on a banknote also is low, said Zheng Xiaoyan, an epidemiologist at the Fuzhou Center for Disease Control and Prevention. ""Thus there is a rather small possibility of virus transmission via a banknote,"" he said. So far, major infection sources are patients contracting novel coronavirus pneumonia, Zhang said. ",coronavirus
2020/2/14,Virus travels via wind?,"The major routes of transmission are still through droplets and direct contact, as per the latest explanation released on the WeChat account of China's National Health Commission on Feb 9. Epidemiological surveys showed most cases could be traced back to close contact with confirmed patients. The National Health Commission said, for now, the distance for droplet transmission is not rather long, usually shorter than two meters. Droplets with a diameter larger than five micrometers will settle quickly by coughing or during talking, in case of close distance, on mucous membrane of the exposed, resulting in infection. But droplets don't float long in air, and won't be blown far enough to serve as virus carriers.","China,cases,confirmed"
2020/2/15,Can smoking prevent novel coronavirus?,"An article recently circulating on China's social media platform WeChat claimed smokers have been infected by the novel coronavirus pneumonia at a far lower rate than non-smokers. The article posted on the WeChat public account Yaojiang Yaoshuo Ketang made the conclusion based on data published in a paper on clinical symptoms of patients infected with the novel coronavirus, co-authored by experts including Zhong Nanshan, a renowned respiratory scientist. According to the data in the paper, among 1,099 pneumonia patients surveyed, 927 were non-smokers, accounting for 85.4 percent of the total; 21 had a history of smoking, accounting for 1.9 percent; and 137 were smokers, accounting for 12.6 percent. A slew of health experts refuted the conclusion, saying it is a rumor taken out of context. ""Composition ratio of infected cases is a different concept than infection ratio of the generation population,"" said Wang Ke'an, former director of the Thinktank Research Center for Health Development. The paper analyzed the composition ratio of infected cases, or the proportions of smokers and non-smokers in the patients. The claim that smokers' infection rate is lower than that of nonsmokers is a disguised replacement of concepts, he said. Zhang Jianshu, president of the Beijing Cigarette Control Association, said the writer of the article took advantage of public panic over the novel coronavirus to promote the tobacco industry. Zhang Ye, head physician at the pneumology department of Beijing Hepingli Hospital, said so far there have been no findings or data showing nicotine, a major element in cigarettes, has an anti-viral effect or prevents infections. Zhang said nicotine can cause respiratory failure and paralysis. As has been known, smoking harms people's health. It weakens the immune system, accelerates the onset of senility and worsens diabetes and blood pressure, among other things.","cases,Beijing,novel coronavirus,pneumonia,China,department,Wang Ke'an,immune system,coronavirus,Cigarette Control"
2020/2/16,Drinking 60 C water kills virus?,"The novel coronavirus can be killed in water at 56 C or higher after 30 minutes, but it is impossible for human body to lift its temperature to 56 C, according to Tang Qin, a researcher at the Popular Science Department of the China Medical Association. What's more, the novel coronavirus infects the respiratory tract rather than the digestive tract. Drinking hot water not only is useless but also hurts the oesophagus.","Department,novel coronavirus,China,coronavirus,respiratory tract"
2020/2/16,Has Huoshenshan Hospital been 'blown away'?,"Wuhan authorities refuted online posts claiming Huoshenshan Hospital, the first makeshift hospital built in the Hubei provincial capital of Wuhan to help combat the novel coronavirus outbreak, has been severely damaged in extreme weather, saying it is operating as normal.  As Wuhan, epicenter of the outbreak, is hit by rainy and snowy weather on Friday and Saturday, some online rumors claimed Huoshenshan Hospital has been ""blown away"" and that severe rain leakage occurred.  Rumors also said some patients from the hospital, which was constructed in only 10 days, have to be transferred to other medical institutes because of the incident.  In a media release on Saturday, the Wuhan construction authority said quite the contrary, that the hospital has been operating normally since it was put into operation on Feb 4. It also said rain leakage featured in an online video didn't happen in the hospital, but Leishenshan, the second makeshift hospital built in Wuhan for virus control.  ""It happened in a zone that has not been transferred for operation,"" it said, adding workers have been busy repairing the area.  The authority will take intensified measures to enhance the capabilities of the makeshift structures in withstanding extreme weather, it added. ","outbreak,Wuhan,coronavirus,novel coronavirus"
2020/2/16,Is Wuhan graduate the first person infected with novel coronavirus?,"Huang Yanling, a graduate of the Wuhan Institute of Virology, a subsidiary of Chinese Academy of Sciences, was not the first person infected with novel coronavirus, nor has she been infected with the virus, the institute said on Sunday. The institute made the statement in response to information circulated widely online that Huang, a postgraduate student at the institute, was the first patient to contract the novel coronavirus pneumonia in Wuhan, Central China's Hubei province, the outbreak epicenter. The statement said Huang graduated with a master's degree from the institute in 2015. Since graduation, she has been working and living in other provinces and has never been infected with novel coronavirus and is in good health. ""At this critical moment in the fight against the epidemic, the rumor has greatly interfered with our scientific research work. We reserve the right to take legal action according to law,"" the statement said.","Wuhan,novel coronavirus,pneumonia,China,coronavirus,outbreak,epidemic,Hubei province"
2020/2/17,A room temperature above 30 C helps fight coronavirus?,"The novel coronavirus gradually loses its activity at whatever temperature, said Tang Qin, a researcher at the Chinese Medical Association. It loses its vitality slower at lower temperatures, and faster at higher temperatures, most rapidly at 56 C, she said.  She said there is no clear evidence that the virus is deactivated much faster in a room temperature of 30 C than in winter outdoor temperatures. ","coronavirus,novel coronavirus"
2020/2/17,Can novel coronavirus be brought home via shoes?,"According to Feng Luzhao, an analyst form Chinese Center for Disease Control and Prevention, the novel coronavirus is mainly transmitted by respiratory droplets and direct contact with a patient's body fluids. After the droplets settle to the ground, the amount of virus caught by shoes is very small. There is no need to disinfect the soles of shoes in daily life, though it's recommended to change shoes at the door when arriving home.","coronavirus,novel coronavirus"
2020/2/17,Have eight confirmed NCP patients fled Hubei hospital?,"A suspected novel coronavirus pneumonia patient who attempted to escape from a hospital in Xiaogan city, Hubei province, was suffering from mental illness. The patient was tested negative for the virus after he was later caught, the hospital said on Monday. On Sunday, a screen shot of a WeChat conversation among medical workers from the Southeast Hospital went viral on social media. It showed a picture of a hole in what appeared to be a wall of a ward. ""Dr Wang is chasing after him,"" a medical worker wrote in the conversation. Rumors then began to circulate on social media and caused widespread panic. Some said a confirmed NCP patient escaped while some claimed that eight people fled the hospital. The hospital has been designated to keep suspected NCP patients in Xiaogan since the outbreak. The patient, surnamed Wang, was then sent to the hospital for isolation. The 34-year-old dug a hole on the board installed to separate the ward around noon on Sunday. He then escaped by climbing out of a window, the hospital said in a statement on Monday. About 12:20 pm, the patient was found. He underwent a chest CT scan in the afternoon and no irregularity was found. He was later transferred to a hospital specializing in mental illness in the city, according to the statement.","confirmed,who,coronavirus,outbreak,Hubei province"
2020/2/17,Researcher reports leak of novel coronavirus?,"Chen Quanjiao, a researcher with the Wuhan Institute of Virology, a subsidiary of the Chinese Academy of Sciences, issued a statement on Monday, refuting rumors that she had posted any tip-offs amid the novel coronavirus outbreak. According to the statement posted on the institute's website, Chen expressed great indignation over the false use of her identity in a rumor.  On Monday, a rumor went viral online saying Chen reported Wang Yanyi, director of the institute, as leaking the novel coronavirus. Chen's ID number was also attached to a screenshot along with the rumor, which claimed Wang is the culprit responsible for the epidemic, and often takes experimental animals out of the laboratory and sells them at the Huanan Seafood Market, where the novel coronavirus outbreak was first reported. According to the institute's website, Chen has been working on influenza viruses at the institute since 2001. It is not the first time the Wuhan Institute of Virology has been targeted by conspiracy theories. Earlier this month, Shi Zhengli, a researcher at the institute, debunked a rumor that claimed that the novel coronavirus was manufactured and escaped from the institute's most advanced biocontainment lab. This week, the institute refuted another rumor that claimed Huang Yanling, a graduate of the institute, was the first patient diagnosed with the novel coronavirus infection.","Wuhan,novel coronavirus,coronavirus,outbreak,epidemic"
2020/2/18,Rice grown in Hubei carries novel coronavirus?,"The truth is that rice is not a host for virus, and the virus cannot replicate and proliferate on a rice grain. And it loses vitality during the storage of rice, according to the platform for alerting the public about online rumors operated by the Cyberspace Administration of China.",China
2020/2/19,Can air purifiers filter the novel coronavirus?,"There's no requirement in product standards for air purifiers to kill viruses or other pathogenic microorganisms, according to Feng Luzhao, an analyst from the Chinese Center for Disease Control and Prevention. Air purifiers are used to remove pollutants from the air, he said. Therefore, air purifiers are not able to filter viruses, but it's recommended to ventilate rooms every day.",
2020/2/19,Mutated coronavirus found on patients in Wenzhou?,"Rumors of a ""mutated coronavirus"" found in patients in Wenzhou, East China's Zhejiang province, have sparked public fear of a ""different"" virus from the novel coronavirus and prejudice against people from Wenzhou. It is falsely reported that 40 percent of the 490 confirmed cases in Wenzhou were infected with a mutant coronavirus, which is totally different from the virus identified in Wuhan. According to a thesis published by a panel for control of the novel coronavirus epidemic of the Chinese Preventive Medicine Association on Tuesday, full-length genome sequences of the novel coronavirus samples collected so far are nearly identical, which means there is no obvious mutation. Based on the latest monitoring of the virus, no mutation has been found in any circumstances.","confirmed,Wuhan,cases,novel coronavirus,China,coronavirus,epidemic"
2020/2/19,Global experts condemn virus conspiracy against China,"In an open letter published in the British medical journal Lancet on Tuesday, a group of health experts from across the world condemned conspiracy theories surrounding the contagious novel coronavirus, which broke out in Central China's Wuhan, and voiced support for Chinese health workers. ""We sign this statement in solidarity with all scientists and health professionals in China who continue to save lives and protect global health during the challenge of the COVID-19 outbreak,"" read the letter. In the letter the health experts condemned conspiracy theories suggesting that the novel coronavirus pneumonia, or COVID-19, does not have a natural origin. It said ""scientists from multiple countries have published and analyzed genomes of the causative agent, severe acute respiratory syndrome coronavirus 2 (SARS-COV-2), and they overwhelmingly conclude that this coronavirus originated in wildlife, as have many other emerging pathogens."" Since the outbreak of novel coronavirus pneumonia, which has been named COVID-19 by the World Health Organization, rumors and disinformation have shrouded truth about the disease. One of the widely-circulated rumors was seen in a Washington Times article on Jan 24, which claimed the virus was part of Chinese biological weapons program based at the Wuhan Institute of Virology. The institute is home to China's first biosafety level-IV lab, which studies world's most dangerous pathogens including Ebola, Lassa fever and Marburg virus. There was also an Indian article claiming scientists had artificially inserted genes from the HIV virus into the coronavirus, thus making it susceptible to anti-HIV treatments. The article was widely cited by conspiracy media outlets as proof that Chinese scientists had engineered the virus and that it had escaped from the Wuhan Institute of Virology. The letter was signed by 27 health experts from eight countries, including Jeremy Farrar, a British medical researcher, and Jim Hughes, an infectious disease expert formerly working for the US Centers for Disease Control and Prevention. The letter said Chinese scientists and health professionals ""have worked diligently and effectively to rapidly identify the pathogen behind the outbreak, put in place significant measures to reduce its impact, and share their results transparently with the global health community."" ""Rapid, open and transparent sharing of data on the outbreak is being threatened by rumors and misinformation around its origins"", read the letter. A petition to spread awareness of the letter and its agenda began on Change.org on Wednesday and it has been close to reaching its goal of 500 signatories as of 6:30pm the same day.","Wuhan,novel coronavirus,susceptible,Washington,pneumonia,World Health Organization,who,COVID-19,China,US,coronavirus,outbreak,pathogens,syndrome coronavirus 2"
2020/2/20,Does vitamin C help prevent the novel coronavirus?,"Vitamin C supplements are reportedly in clinical trials in Wuhan to help cure the novel coronavirus pneumonia, so the public is wondering whether it helps to have vitamin C at home to prevent the disease.  According to Ruan Guangfeng from China Food Information Center, the saying that vitamin C helps improve immunity originates from people's knowledge about colds, which is scientifically groundless. There is no proof that vitamin C relieves or cures colds. Ruan said it is not necessary for healthy people to take extra supplements to prevent the disease as long as they get enough nutrition from a balanced diet.  As for those who stay at home during the epidemic control, Ruan suggests taking vitamin C if fresh vegetables and fruit are temporarily unavailable - 100 milligrams for adults and no more than 200 milligrams for those who are pregnant. Vitamin C supplements are not an alternative to fresh food, he said. ","Wuhan,pneumonia,who,China,coronavirus,epidemic"
2020/2/21,Is novel coronavirus the most deadly pathogen?,"The fatality rate of the novel coronavirus pneumonia is around 3 percent (total deaths divided by the number of confirmed cases), much lower than the mortality rate of other pathogens such as Ebola, which has a case fatality rate of up to 90 percent. And don't forget influenza, which kills hundreds of thousands of people around the world every single year.","confirmed,cases,pneumonia,coronavirus,pathogens"
